CreditCardID,CardType,CardNumber,ExpMonth,ExpYear,ModifiedDate
40,Distinguish,5.55558E+13,4,2008,00:00.0
41,Vista,1.11138E+13,7,2008,00:00.0
42,Distinguish,5.55551E+13,3,2005,00:00.0
43,SuperiorCard,3.33328E+13,3,2006,00:00.0
44,ColonialVoice,7.77792E+13,6,2007,00:00.0
45,Distinguish,5.5552E+13,4,2006,00:00.0
46,SuperiorCard,3.33313E+13,12,2005,00:00.0
47,Distinguish,5.55516E+13,3,2008,00:00.0
48,SuperiorCard,3.33387E+13,3,2008,00:00.0
49,SuperiorCard,3.33378E+13,6,2008,00:00.0
50,ColonialVoice,7.77768E+13,5,2007,00:00.0
51,SuperiorCard,3.33371E+13,3,2007,00:00.0
52,Vista,1.11131E+13,3,2008,00:00.0
53,ColonialVoice,7.77722E+13,5,2006,00:00.0
54,Distinguish,5.55533E+13,12,2006,00:00.0
55,ColonialVoice,7.77766E+13,5,2008,00:00.0
56,Distinguish,5.55515E+13,7,2007,00:00.0
57,ColonialVoice,7.77753E+13,10,2008,00:00.0
58,Vista,1.11176E+13,12,2008,00:00.0
59,Vista,1.11169E+13,9,2006,00:00.0
60,Vista,1.11111E+13,1,2008,00:00.0
61,Distinguish,5.55535E+13,4,2008,00:00.0
62,SuperiorCard,3.33361E+13,1,2005,00:00.0
63,Distinguish,5.55528E+13,4,2008,00:00.0
64,ColonialVoice,7.77763E+13,2,2005,00:00.0
65,Distinguish,5.55561E+13,4,2005,00:00.0
66,ColonialVoice,7.77742E+13,8,2005,00:00.0
67,SuperiorCard,3.33355E+13,12,2005,00:00.0
68,SuperiorCard,3.33372E+13,3,2005,00:00.0
69,ColonialVoice,7.7773E+13,6,2005,00:00.0
70,Distinguish,5.55562E+13,3,2008,00:00.0
71,Vista,1.11162E+13,7,2005,00:00.0
72,Distinguish,5.55572E+13,7,2005,00:00.0
73,Vista,1.11111E+13,1,2008,00:00.0
74,Vista,1.11119E+13,11,2007,00:00.0
75,SuperiorCard,3.3339E+13,11,2008,00:00.0
76,SuperiorCard,3.33377E+13,5,2008,00:00.0
77,Distinguish,5.55525E+13,8,2008,00:00.0
78,SuperiorCard,3.33353E+13,8,2008,00:00.0
79,Vista,1.1118E+13,7,2006,00:00.0
80,ColonialVoice,7.77723E+13,11,2008,00:00.0
81,Distinguish,5.55579E+13,6,2007,00:00.0
82,Distinguish,5.55526E+13,11,2006,00:00.0
83,Vista,1.1118E+13,4,2008,00:00.0
84,Distinguish,5.55569E+13,1,2006,00:00.0
85,ColonialVoice,7.7776E+13,4,2006,00:00.0
86,SuperiorCard,3.33367E+13,1,2006,00:00.0
87,Vista,1.11155E+13,8,2007,00:00.0
88,Distinguish,5.55595E+13,1,2006,00:00.0
89,SuperiorCard,3.3333E+13,4,2007,00:00.0
90,Distinguish,5.55541E+13,11,2007,00:00.0
91,SuperiorCard,3.33344E+13,1,2006,00:00.0
92,SuperiorCard,3.33344E+13,10,2006,00:00.0
93,Vista,1.11172E+13,2,2005,00:00.0
94,Distinguish,5.55536E+13,5,2005,00:00.0
95,Distinguish,5.55514E+13,5,2007,00:00.0
96,SuperiorCard,3.33376E+13,4,2007,00:00.0
97,ColonialVoice,7.77789E+13,12,2007,00:00.0
98,SuperiorCard,3.33347E+13,9,2006,00:00.0
99,Vista,1.11196E+13,12,2006,00:00.0
100,ColonialVoice,7.77759E+13,9,2007,00:00.0
101,ColonialVoice,7.77712E+13,12,2006,00:00.0
102,ColonialVoice,7.77779E+13,12,2008,00:00.0
103,Vista,1.11134E+13,10,2007,00:00.0
104,ColonialVoice,7.7773E+13,11,2005,00:00.0
105,Distinguish,5.55583E+13,4,2008,00:00.0
106,SuperiorCard,3.33316E+13,10,2008,00:00.0
107,ColonialVoice,7.77715E+13,12,2006,00:00.0
108,Vista,1.11142E+13,4,2006,00:00.0
109,Vista,1.1116E+13,8,2007,00:00.0
110,Distinguish,5.55565E+13,12,2006,00:00.0
111,SuperiorCard,3.33391E+13,4,2006,00:00.0
112,Vista,1.11183E+13,3,2007,00:00.0
113,Vista,1.11179E+13,2,2005,00:00.0
114,SuperiorCard,3.33386E+13,8,2006,00:00.0
115,Distinguish,5.55573E+13,1,2005,00:00.0
116,Distinguish,5.55515E+13,5,2006,00:00.0
117,ColonialVoice,7.77783E+13,8,2005,00:00.0
118,Distinguish,5.55518E+13,10,2007,00:00.0
119,Distinguish,5.55511E+13,1,2006,00:00.0
120,Distinguish,5.55548E+13,1,2006,00:00.0
121,Distinguish,5.55565E+13,8,2005,00:00.0
122,ColonialVoice,7.77758E+13,9,2007,00:00.0
123,Distinguish,5.55526E+13,8,2007,00:00.0
124,ColonialVoice,7.77721E+13,12,2007,00:00.0
125,ColonialVoice,7.77743E+13,6,2006,00:00.0
126,SuperiorCard,3.33356E+13,11,2005,00:00.0
127,ColonialVoice,7.77787E+13,4,2008,00:00.0
128,Distinguish,5.55546E+13,8,2006,00:00.0
129,Distinguish,5.55556E+13,12,2005,00:00.0
130,Vista,1.1117E+13,7,2005,00:00.0
131,SuperiorCard,3.33333E+13,6,2008,00:00.0
132,SuperiorCard,3.33329E+13,1,2008,00:00.0
133,Distinguish,5.55515E+13,8,2006,00:00.0
134,ColonialVoice,7.77791E+13,8,2006,00:00.0
135,ColonialVoice,7.77735E+13,4,2006,00:00.0
136,Distinguish,5.55532E+13,9,2008,00:00.0
137,Distinguish,5.55583E+13,12,2006,00:00.0
138,Distinguish,5.5554E+13,7,2005,00:00.0
139,SuperiorCard,3.3333E+13,6,2007,00:00.0
140,SuperiorCard,3.33325E+13,1,2005,00:00.0
141,Distinguish,5.55534E+13,8,2007,00:00.0
142,Distinguish,5.55541E+13,6,2006,00:00.0
143,SuperiorCard,3.3339E+13,5,2005,00:00.0
144,Distinguish,5.55523E+13,3,2007,00:00.0
145,ColonialVoice,7.77716E+13,1,2007,00:00.0
146,SuperiorCard,3.33315E+13,1,2006,00:00.0
147,SuperiorCard,3.3335E+13,1,2007,00:00.0
148,SuperiorCard,3.33364E+13,8,2006,00:00.0
149,ColonialVoice,7.77777E+13,11,2006,00:00.0
150,Vista,1.1114E+13,12,2006,00:00.0
151,SuperiorCard,3.33319E+13,12,2007,00:00.0
152,SuperiorCard,3.33326E+13,10,2005,00:00.0
153,Vista,1.11178E+13,1,2005,00:00.0
154,ColonialVoice,7.77747E+13,8,2008,00:00.0
155,ColonialVoice,7.77773E+13,3,2006,00:00.0
156,Vista,1.11173E+13,4,2007,00:00.0
157,Vista,1.11127E+13,6,2005,00:00.0
158,SuperiorCard,3.33384E+13,6,2006,00:00.0
159,SuperiorCard,3.33322E+13,1,2008,00:00.0
160,Vista,1.11176E+13,12,2007,00:00.0
161,Vista,1.11131E+13,3,2005,00:00.0
162,SuperiorCard,3.33382E+13,8,2008,00:00.0
163,Vista,1.11159E+13,12,2006,00:00.0
164,ColonialVoice,7.77735E+13,5,2005,00:00.0
165,ColonialVoice,7.77721E+13,2,2007,00:00.0
166,Vista,1.11174E+13,9,2006,00:00.0
167,SuperiorCard,3.33353E+13,11,2005,00:00.0
168,SuperiorCard,3.33314E+13,1,2007,00:00.0
169,Distinguish,5.55555E+13,10,2008,00:00.0
170,ColonialVoice,7.7775E+13,6,2006,00:00.0
171,Distinguish,5.55548E+13,8,2005,00:00.0
172,SuperiorCard,3.33387E+13,11,2008,00:00.0
173,SuperiorCard,3.33318E+13,10,2007,00:00.0
174,ColonialVoice,7.7773E+13,7,2006,00:00.0
175,ColonialVoice,7.77798E+13,1,2006,00:00.0
176,SuperiorCard,3.33377E+13,10,2007,00:00.0
177,Vista,1.11145E+13,9,2005,00:00.0
178,Vista,1.11152E+13,6,2008,00:00.0
179,SuperiorCard,3.33321E+13,3,2007,00:00.0
180,Distinguish,5.55541E+13,12,2008,00:00.0
181,ColonialVoice,7.77738E+13,12,2007,00:00.0
182,Distinguish,5.55578E+13,3,2008,00:00.0
183,Vista,1.11124E+13,3,2005,00:00.0
184,SuperiorCard,3.33333E+13,10,2007,00:00.0
185,Distinguish,5.55592E+13,3,2008,00:00.0
186,Vista,1.11183E+13,10,2007,00:00.0
187,Vista,1.1115E+13,2,2007,00:00.0
188,ColonialVoice,7.77777E+13,12,2005,00:00.0
189,SuperiorCard,3.33389E+13,1,2008,00:00.0
190,Distinguish,5.55578E+13,7,2006,00:00.0
191,SuperiorCard,3.33384E+13,7,2005,00:00.0
192,SuperiorCard,3.33356E+13,6,2007,00:00.0
193,Vista,1.11155E+13,12,2005,00:00.0
194,ColonialVoice,7.77745E+13,8,2008,00:00.0
195,Distinguish,5.55519E+13,9,2005,00:00.0
196,Vista,1.1117E+13,7,2005,00:00.0
197,Distinguish,5.55569E+13,5,2006,00:00.0
198,SuperiorCard,3.3335E+13,7,2007,00:00.0
199,SuperiorCard,3.33355E+13,5,2007,00:00.0
200,Distinguish,5.5557E+13,4,2008,00:00.0
201,ColonialVoice,7.77797E+13,5,2005,00:00.0
202,SuperiorCard,3.33385E+13,12,2007,00:00.0
203,Vista,1.11114E+13,11,2007,00:00.0
204,Distinguish,5.55563E+13,4,2005,00:00.0
205,Distinguish,5.55568E+13,4,2008,00:00.0
206,Vista,1.11167E+13,7,2006,00:00.0
207,Distinguish,5.55537E+13,1,2008,00:00.0
208,Distinguish,5.55511E+13,11,2007,00:00.0
209,Vista,1.11157E+13,11,2005,00:00.0
210,SuperiorCard,3.3331E+13,7,2006,00:00.0
211,SuperiorCard,3.33381E+13,6,2006,00:00.0
212,SuperiorCard,3.33345E+13,7,2008,00:00.0
213,SuperiorCard,3.33355E+13,9,2008,00:00.0
214,SuperiorCard,3.33348E+13,4,2008,00:00.0
215,Vista,1.11127E+13,3,2008,00:00.0
216,Distinguish,5.55597E+13,7,2005,00:00.0
217,SuperiorCard,3.33378E+13,10,2005,00:00.0
218,Vista,1.11169E+13,12,2007,00:00.0
219,SuperiorCard,3.3333E+13,2,2006,00:00.0
220,Distinguish,5.55565E+13,12,2005,00:00.0
221,Vista,1.11132E+13,10,2007,00:00.0
222,ColonialVoice,7.77771E+13,3,2007,00:00.0
223,SuperiorCard,3.33344E+13,8,2007,00:00.0
224,Vista,1.11113E+13,5,2006,00:00.0
225,Vista,1.11114E+13,10,2005,00:00.0
226,SuperiorCard,3.33323E+13,4,2006,00:00.0
227,Vista,1.1113E+13,10,2007,00:00.0
228,Vista,1.11177E+13,7,2007,00:00.0
229,SuperiorCard,3.3331E+13,9,2008,00:00.0
230,Distinguish,5.55526E+13,7,2008,00:00.0
231,Vista,1.11196E+13,11,2008,00:00.0
232,Vista,1.11146E+13,10,2007,00:00.0
233,ColonialVoice,7.77784E+13,1,2007,00:00.0
234,ColonialVoice,7.77757E+13,3,2005,00:00.0
235,ColonialVoice,7.77742E+13,2,2006,00:00.0
236,ColonialVoice,7.7772E+13,12,2005,00:00.0
237,SuperiorCard,3.33345E+13,4,2006,00:00.0
238,ColonialVoice,7.77718E+13,12,2005,00:00.0
239,Distinguish,5.55564E+13,10,2006,00:00.0
240,Distinguish,5.55534E+13,5,2008,00:00.0
241,ColonialVoice,7.77764E+13,5,2005,00:00.0
242,SuperiorCard,3.33374E+13,10,2005,00:00.0
243,Distinguish,5.55546E+13,3,2007,00:00.0
244,SuperiorCard,3.33325E+13,7,2005,00:00.0
245,ColonialVoice,7.77763E+13,8,2008,00:00.0
246,SuperiorCard,3.33316E+13,3,2005,00:00.0
247,SuperiorCard,3.33344E+13,10,2005,00:00.0
248,Vista,1.11185E+13,9,2007,00:00.0
249,SuperiorCard,3.3333E+13,9,2006,00:00.0
250,ColonialVoice,7.77731E+13,2,2008,00:00.0
251,SuperiorCard,3.33372E+13,3,2008,00:00.0
252,SuperiorCard,3.33371E+13,8,2006,00:00.0
253,SuperiorCard,3.33319E+13,10,2005,00:00.0
254,Distinguish,5.55543E+13,11,2007,00:00.0
255,SuperiorCard,3.33331E+13,6,2006,00:00.0
256,Vista,1.11116E+13,12,2008,00:00.0
257,Vista,1.11125E+13,10,2006,00:00.0
258,ColonialVoice,7.77762E+13,6,2008,00:00.0
259,SuperiorCard,3.3339E+13,4,2008,00:00.0
260,SuperiorCard,3.33318E+13,7,2008,00:00.0
261,ColonialVoice,7.77732E+13,12,2008,00:00.0
262,SuperiorCard,3.33397E+13,4,2005,00:00.0
263,SuperiorCard,3.33339E+13,12,2006,00:00.0
264,Distinguish,5.55571E+13,6,2007,00:00.0
265,Distinguish,5.55528E+13,4,2007,00:00.0
266,ColonialVoice,7.77756E+13,1,2007,00:00.0
267,SuperiorCard,3.33313E+13,11,2005,00:00.0
268,SuperiorCard,3.33322E+13,2,2006,00:00.0
269,SuperiorCard,3.33371E+13,8,2007,00:00.0
270,SuperiorCard,3.33388E+13,7,2008,00:00.0
271,ColonialVoice,7.77721E+13,9,2006,00:00.0
272,SuperiorCard,3.33369E+13,8,2005,00:00.0
273,ColonialVoice,7.77744E+13,11,2006,00:00.0
274,Distinguish,5.55533E+13,9,2008,00:00.0
275,Distinguish,5.55553E+13,5,2008,00:00.0
276,SuperiorCard,3.33361E+13,12,2007,00:00.0
277,ColonialVoice,7.77791E+13,5,2005,00:00.0
278,Distinguish,5.55588E+13,9,2008,00:00.0
279,Vista,1.11165E+13,5,2006,00:00.0
280,Vista,1.11195E+13,6,2006,00:00.0
281,Distinguish,5.55513E+13,5,2006,00:00.0
282,ColonialVoice,7.77764E+13,12,2006,00:00.0
283,SuperiorCard,3.33394E+13,9,2005,00:00.0
284,SuperiorCard,3.33336E+13,4,2005,00:00.0
285,Distinguish,5.55539E+13,6,2008,00:00.0
286,ColonialVoice,7.77736E+13,8,2007,00:00.0
287,ColonialVoice,7.7775E+13,12,2006,00:00.0
288,SuperiorCard,3.33333E+13,6,2007,00:00.0
289,Distinguish,5.55588E+13,6,2008,00:00.0
290,SuperiorCard,3.33384E+13,7,2006,00:00.0
291,Distinguish,5.55567E+13,7,2007,00:00.0
292,Vista,1.11152E+13,5,2005,00:00.0
293,Vista,1.11119E+13,1,2007,00:00.0
294,Vista,1.11114E+13,3,2005,00:00.0
295,SuperiorCard,3.33355E+13,9,2007,00:00.0
296,SuperiorCard,3.33336E+13,10,2008,00:00.0
297,SuperiorCard,3.33334E+13,11,2005,00:00.0
298,ColonialVoice,7.77763E+13,10,2008,00:00.0
299,Distinguish,5.55518E+13,4,2006,00:00.0
300,Vista,1.11187E+13,5,2007,00:00.0
301,Distinguish,5.55585E+13,12,2006,00:00.0
302,SuperiorCard,3.3335E+13,4,2006,00:00.0
303,Vista,1.11198E+13,9,2005,00:00.0
304,ColonialVoice,7.77759E+13,4,2008,00:00.0
305,Distinguish,5.55523E+13,7,2005,00:00.0
306,Vista,1.11145E+13,8,2007,00:00.0
307,SuperiorCard,3.33312E+13,1,2006,00:00.0
308,SuperiorCard,3.33315E+13,6,2007,00:00.0
309,Vista,1.11179E+13,3,2007,00:00.0
310,Distinguish,5.5554E+13,11,2006,00:00.0
311,SuperiorCard,3.33354E+13,11,2006,00:00.0
312,SuperiorCard,3.33335E+13,3,2008,00:00.0
313,Distinguish,5.5558E+13,7,2007,00:00.0
314,ColonialVoice,7.77775E+13,1,2007,00:00.0
315,ColonialVoice,7.77728E+13,10,2008,00:00.0
316,ColonialVoice,7.77775E+13,12,2006,00:00.0
317,ColonialVoice,7.77752E+13,1,2007,00:00.0
318,SuperiorCard,3.33338E+13,12,2005,00:00.0
319,SuperiorCard,3.33336E+13,3,2008,00:00.0
320,Distinguish,5.55591E+13,9,2005,00:00.0
321,Vista,1.11159E+13,7,2005,00:00.0
322,Vista,1.11115E+13,12,2006,00:00.0
323,Distinguish,5.55565E+13,2,2007,00:00.0
324,SuperiorCard,3.33366E+13,2,2005,00:00.0
325,Vista,1.11131E+13,12,2007,00:00.0
326,Distinguish,5.55592E+13,7,2008,00:00.0
327,Distinguish,5.5553E+13,7,2008,00:00.0
328,SuperiorCard,3.33372E+13,10,2006,00:00.0
329,SuperiorCard,3.33336E+13,8,2008,00:00.0
330,Distinguish,5.55594E+13,2,2007,00:00.0
331,Distinguish,5.55582E+13,11,2006,00:00.0
332,SuperiorCard,3.33354E+13,6,2006,00:00.0
333,Distinguish,5.55593E+13,5,2005,00:00.0
334,Distinguish,5.55583E+13,6,2005,00:00.0
335,Distinguish,5.55511E+13,2,2005,00:00.0
336,SuperiorCard,3.3333E+13,7,2008,00:00.0
337,Vista,1.11147E+13,5,2007,00:00.0
338,ColonialVoice,7.77777E+13,9,2008,00:00.0
339,Distinguish,5.55595E+13,12,2008,00:00.0
340,Distinguish,5.55554E+13,10,2006,00:00.0
341,Vista,1.11144E+13,3,2005,00:00.0
342,ColonialVoice,7.77763E+13,1,2006,00:00.0
343,Vista,1.11157E+13,7,2008,00:00.0
344,Vista,1.11197E+13,9,2006,00:00.0
345,Vista,1.11181E+13,6,2008,00:00.0
346,SuperiorCard,3.33355E+13,3,2008,00:00.0
347,SuperiorCard,3.33375E+13,9,2005,00:00.0
348,Distinguish,5.55518E+13,11,2008,00:00.0
349,ColonialVoice,7.77724E+13,9,2007,00:00.0
350,ColonialVoice,7.77746E+13,5,2007,00:00.0
351,ColonialVoice,7.77763E+13,12,2007,00:00.0
352,Vista,1.1111E+13,5,2005,00:00.0
353,Vista,1.1114E+13,11,2008,00:00.0
354,SuperiorCard,3.33372E+13,6,2007,00:00.0
355,SuperiorCard,3.33362E+13,9,2008,00:00.0
356,Vista,1.11141E+13,10,2008,00:00.0
357,SuperiorCard,3.33391E+13,1,2008,00:00.0
358,SuperiorCard,3.33365E+13,11,2006,00:00.0
359,ColonialVoice,7.77765E+13,10,2008,00:00.0
360,ColonialVoice,7.77729E+13,7,2005,00:00.0
361,SuperiorCard,3.33337E+13,4,2007,00:00.0
362,Distinguish,5.55531E+13,3,2007,00:00.0
363,ColonialVoice,7.77751E+13,8,2006,00:00.0
364,Distinguish,5.55585E+13,9,2007,00:00.0
365,Vista,1.11133E+13,8,2005,00:00.0
366,Distinguish,5.55514E+13,6,2007,00:00.0
367,ColonialVoice,7.77717E+13,10,2006,00:00.0
368,SuperiorCard,3.3338E+13,8,2008,00:00.0
369,Distinguish,5.5559E+13,7,2008,00:00.0
370,Distinguish,5.55529E+13,10,2007,00:00.0
371,Vista,1.11114E+13,2,2006,00:00.0
372,Distinguish,5.55546E+13,6,2008,00:00.0
373,SuperiorCard,3.33366E+13,10,2008,00:00.0
374,Vista,1.11181E+13,2,2007,00:00.0
375,Distinguish,5.55562E+13,5,2005,00:00.0
376,SuperiorCard,3.33379E+13,7,2006,00:00.0
377,Vista,1.11128E+13,1,2005,00:00.0
378,Distinguish,5.5551E+13,4,2006,00:00.0
379,SuperiorCard,3.33399E+13,2,2008,00:00.0
380,ColonialVoice,7.77731E+13,1,2008,00:00.0
381,SuperiorCard,3.33339E+13,3,2006,00:00.0
382,Vista,1.11162E+13,5,2007,00:00.0
383,Vista,1.11116E+13,5,2006,00:00.0
384,ColonialVoice,7.77752E+13,8,2007,00:00.0
385,SuperiorCard,3.33372E+13,4,2005,00:00.0
386,SuperiorCard,3.33346E+13,6,2006,00:00.0
387,ColonialVoice,7.7775E+13,10,2006,00:00.0
388,Distinguish,5.55564E+13,2,2007,00:00.0
389,Distinguish,5.55525E+13,10,2005,00:00.0
390,Vista,1.11188E+13,7,2008,00:00.0
391,ColonialVoice,7.77725E+13,7,2005,00:00.0
392,Vista,1.11186E+13,5,2007,00:00.0
393,Vista,1.11116E+13,4,2006,00:00.0
394,Distinguish,5.5553E+13,6,2006,00:00.0
395,ColonialVoice,7.77714E+13,6,2006,00:00.0
396,SuperiorCard,3.33386E+13,2,2006,00:00.0
397,SuperiorCard,3.33387E+13,5,2006,00:00.0
398,SuperiorCard,3.334E+13,8,2006,00:00.0
399,Vista,1.11187E+13,7,2006,00:00.0
400,Vista,1.11182E+13,6,2005,00:00.0
401,Distinguish,5.55576E+13,9,2007,00:00.0
402,ColonialVoice,7.77787E+13,11,2008,00:00.0
403,ColonialVoice,7.77758E+13,7,2008,00:00.0
404,SuperiorCard,3.33311E+13,3,2007,00:00.0
405,Distinguish,5.55583E+13,9,2006,00:00.0
406,SuperiorCard,3.33352E+13,1,2007,00:00.0
407,SuperiorCard,3.33356E+13,9,2005,00:00.0
408,Distinguish,5.55572E+13,11,2008,00:00.0
409,ColonialVoice,7.77751E+13,5,2008,00:00.0
410,SuperiorCard,3.33335E+13,5,2008,00:00.0
411,Distinguish,5.55544E+13,7,2005,00:00.0
412,SuperiorCard,3.33351E+13,8,2005,00:00.0
413,SuperiorCard,3.3331E+13,9,2008,00:00.0
414,Distinguish,5.55595E+13,1,2006,00:00.0
415,Distinguish,5.55584E+13,1,2005,00:00.0
416,Vista,1.11111E+13,1,2005,00:00.0
417,SuperiorCard,3.33326E+13,11,2006,00:00.0
418,ColonialVoice,7.77783E+13,7,2005,00:00.0
419,SuperiorCard,3.33311E+13,5,2005,00:00.0
420,Distinguish,5.55596E+13,5,2008,00:00.0
421,ColonialVoice,7.77796E+13,12,2006,00:00.0
422,ColonialVoice,7.7777E+13,1,2005,00:00.0
423,Vista,1.11171E+13,9,2007,00:00.0
424,SuperiorCard,3.33383E+13,4,2008,00:00.0
425,Distinguish,5.55567E+13,3,2008,00:00.0
426,ColonialVoice,7.77781E+13,10,2006,00:00.0
427,Distinguish,5.55557E+13,11,2006,00:00.0
428,Vista,1.11185E+13,1,2008,00:00.0
429,Vista,1.11138E+13,3,2008,00:00.0
430,Vista,1.1113E+13,12,2006,00:00.0
431,Distinguish,5.55511E+13,6,2007,00:00.0
432,Vista,1.11123E+13,11,2006,00:00.0
433,Distinguish,5.55582E+13,4,2008,00:00.0
434,Distinguish,5.55578E+13,3,2006,00:00.0
435,ColonialVoice,7.77769E+13,2,2008,00:00.0
436,Distinguish,5.55533E+13,1,2006,00:00.0
437,Vista,1.11112E+13,11,2008,00:00.0
438,Distinguish,5.55571E+13,12,2005,00:00.0
439,Vista,1.11146E+13,2,2006,00:00.0
440,ColonialVoice,7.77797E+13,2,2007,00:00.0
441,SuperiorCard,3.33338E+13,9,2006,00:00.0
442,Vista,1.11126E+13,7,2005,00:00.0
443,ColonialVoice,7.77714E+13,4,2007,00:00.0
444,Distinguish,5.5551E+13,3,2007,00:00.0
445,SuperiorCard,3.33388E+13,2,2005,00:00.0
446,Vista,1.1112E+13,8,2007,00:00.0
447,SuperiorCard,3.33361E+13,8,2007,00:00.0
448,Vista,1.11157E+13,12,2007,00:00.0
449,SuperiorCard,3.33351E+13,9,2006,00:00.0
450,SuperiorCard,3.33326E+13,1,2006,00:00.0
451,SuperiorCard,3.33347E+13,6,2005,00:00.0
452,ColonialVoice,7.77751E+13,8,2006,00:00.0
453,SuperiorCard,3.33382E+13,8,2007,00:00.0
454,Distinguish,5.5555E+13,12,2007,00:00.0
455,SuperiorCard,3.33322E+13,3,2006,00:00.0
456,Distinguish,5.55571E+13,6,2006,00:00.0
457,ColonialVoice,7.77775E+13,5,2005,00:00.0
458,Distinguish,5.55534E+13,8,2005,00:00.0
459,Distinguish,5.55519E+13,9,2007,00:00.0
460,Distinguish,5.55552E+13,6,2006,00:00.0
461,SuperiorCard,3.33377E+13,10,2006,00:00.0
462,SuperiorCard,3.33317E+13,6,2006,00:00.0
463,Vista,1.11191E+13,3,2008,00:00.0
464,SuperiorCard,3.33338E+13,12,2007,00:00.0
465,Distinguish,5.55525E+13,2,2005,00:00.0
466,SuperiorCard,3.33388E+13,9,2005,00:00.0
467,Vista,1.11178E+13,7,2006,00:00.0
468,ColonialVoice,7.77721E+13,10,2006,00:00.0
469,SuperiorCard,3.33385E+13,8,2006,00:00.0
470,Vista,1.112E+13,6,2008,00:00.0
471,Distinguish,5.5557E+13,11,2005,00:00.0
472,ColonialVoice,7.77756E+13,4,2007,00:00.0
473,Distinguish,5.55592E+13,3,2007,00:00.0
474,SuperiorCard,3.33369E+13,6,2006,00:00.0
475,SuperiorCard,3.33359E+13,2,2007,00:00.0
476,Distinguish,5.55591E+13,3,2007,00:00.0
477,Distinguish,5.55523E+13,4,2007,00:00.0
478,Distinguish,5.55527E+13,7,2007,00:00.0
479,SuperiorCard,3.3334E+13,1,2008,00:00.0
480,Distinguish,5.55544E+13,8,2007,00:00.0
481,SuperiorCard,3.33327E+13,9,2007,00:00.0
482,Vista,1.11126E+13,9,2006,00:00.0
483,Distinguish,5.5552E+13,8,2007,00:00.0
484,SuperiorCard,3.33332E+13,7,2006,00:00.0
485,SuperiorCard,3.33341E+13,12,2007,00:00.0
486,Distinguish,5.55583E+13,6,2006,00:00.0
487,Vista,1.11162E+13,8,2005,00:00.0
488,Distinguish,5.55523E+13,8,2006,00:00.0
489,SuperiorCard,3.33356E+13,8,2005,00:00.0
490,Vista,1.11191E+13,11,2007,00:00.0
491,Vista,1.11116E+13,8,2007,00:00.0
492,Vista,1.11156E+13,8,2007,00:00.0
493,ColonialVoice,7.77717E+13,1,2006,00:00.0
494,Distinguish,5.55538E+13,10,2006,00:00.0
495,Distinguish,5.55543E+13,10,2008,00:00.0
496,ColonialVoice,7.77722E+13,9,2007,00:00.0
497,Distinguish,5.55544E+13,2,2007,00:00.0
498,SuperiorCard,3.33369E+13,9,2007,00:00.0
499,Distinguish,5.55558E+13,8,2008,00:00.0
500,ColonialVoice,7.77713E+13,8,2008,00:00.0
501,Distinguish,5.5557E+13,6,2005,00:00.0
502,Vista,1.11142E+13,4,2006,00:00.0
503,Vista,1.11139E+13,11,2007,00:00.0
504,Distinguish,5.55511E+13,2,2005,00:00.0
505,Distinguish,5.55526E+13,8,2005,00:00.0
